有	11175342
人	10797796
一	10014755
的	9783570
係	7980459
個	7203778
大	6486052
以	5899406
日	5883354
出	5476676
唔	5473410
都	5225816
不	5210886
時	4904767
過	4766498
地	4653049
得	4603989
後	4588312
要	4474004
同	4472216
我	4165479
國	4130094
到	4053642
可	4005038
港	3965777
就	3907925
家	3786371
自	3610071
但	3482593
前	3473396
多	3464761
佢	3322604
在	3305275
是	3302862
開	3263553
用	3165088
去	3144409
其	3085110
場	3084841
入	3047583
無	3000659
對	2995060
好	2972484
嘅	2877729
手	2802932
點	2778452
心	2749887
主	2740890
事	2669970
本	2659722
為	2609287
話	2562960
最	2525468
實	2514539
而	2503575
經	2472424
之	2449717
今	2422864
香	2419021
發	2404491
機	2393519
他	2385961
定	2360969
你	2355493
公	2329931
中	2315971
如	2311850
方	2299626
意	2294661
咁	2293255
又	2292217
面	2274788
加	2271883
來	2264748
做	2206263
了	2203299
真	2201595
法	2194205
月	2190445
然	2166960
比	2158895
現	2124423
力	2118103
全	2102753
先	2092343
學	2078626
已	2065146
因	2051580
香港	2050634
者	2005957
動	2000881
次	1990036
期	1983575
新	1980247
明	1972102
於	1964815
工	1963348
外	1956306
民	1934192
所	1932437
及	1918811
身	1914976
能	1911113
問	1877119
美	1824789
作	1812424
成	1807186
球	1797291
睇	1783490
見	1773105
理	1772345
想	1763396
員	1753838
高	1740632
頭	1728478
冇	1709559
小	1707030
收	1705729
只	1699607
表	1691686
啲	1673644
政	1662297
食	1648443
等	1642593
電	1635079
和	1624860
至	1607115
水	1599339
可以	1599177
老	1593377
己	1586755
利	1585050
市	1583594
買	1582733
友	1561702
講	1561029
反	1545558
情	1530417
價	1505157
自己	1497310
指	1473130
部	1437650
由	1426836
起	1425083
關	1414935
樣	1413753
未	1413452
住	1403520
金	1399295
天	1394110
記	1358343
再	1354166
警	1353468
內	1335223
兩	1334132
合	1325501
呢	1319927
連	1314695
資	1313862
道	1308010
啦	1301369
報	1297216
台	1296927
樓	1295926
放	1273073
影	1271759
業	1264001
即	1261388
幾	1252150
接	1228059
似	1217578
感	1208635
一個	1205305
落	1200339
受	1199563
認	1197942
口	1197277
死	1194314
回	1191105
完	1185048
士	1184617
與	1174517
巴	1170157
持	1162727
通	1160956
被	1155980
升	1147979
該	1144814
直	1144108
路	1142126
支	1130943
信	1130053
星	1130010
特	1126290
英	1124204
不過	1123818
原	1112508
馬	1111503
望	1105637
上	1100115
會	1098129
元	1094926
選	1087918
示	1079374
波	1077820
題	1077382
男	1074123
邊	1071984
保	1071513
第	1062239
交	1061585
體	1054531
司	1051631
女	1046752
或	1046516
下	1039729
三	1039467
算	1036384
咗	1035821
世	1023104
們	1020286
仲	1019554
股	1018360
條	1009335
氣	1007102
分	1006083
物	1001644
安	1000972
噉	1000001
代	996803
推	995418
戰	990956
將	982609
件	981873
教	980277
早	970927
班	969131
萬	964634
走	962723
任	959370
因為	956735
進	947852
變	946401
向	943799
求	937737
太	935788
緊	935592
約	934456
立	933026
生	931746
常	921183
性	915607
投	915521
足	912671
賽	909994
位	907431
師	902708
西	899841
其實	897212
目	893997
色	889327
門	889286
網	886959
正	879171
真係	876096
埋	872844
客	867215
二	867125
別	865372
結	862377
界	861985
共	859794
府	854897
車	852445
識	848676
間	847801
議	844684
周	842581
聯	840687
已經	840443
首	836479
基	834175
黎	831412
應	829743
街	828412
叫	828368
留	825226
文	821533
